mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__max_depth,param_tree__min_samples_split,params,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
0.7935511112213135,0.012657436291390808,0.060943603515625,0.008251263124445138,16,0.1,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.1}",-60.09743422750177,-59.84384391491799,-60.55035672682243,-60.01572555049346,-60.1356936262909,-60.12861080920531,0.2335495794420442,1,0.0476,0.0476,0.04855,0.05165,0.04765,0.04861,0.00156249799999872,1
0.6311688899993897,0.018227961626780795,0.06299614906311035,0.009669941474001393,16,0.2,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.2}",-69.59889022654488,-70.85142302999867,-70.12265905212219,-69.92427252969887,-70.87380315962393,-70.27420959959771,0.5087568296170866,6,0.03795,0.0385,0.0376,0.03865,0.0373,0.03799999999999999,0.000514781507049349,5
0.5161028861999511,0.05680107133357549,0.07201919555664063,0.016038585790404118,16,0.3,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.4910892009735107,0.0277215328097302,0.06628341674804687,0.01256954325603117,16,0.4,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.4182268142700195,0.020690112110457428,0.07219061851501465,0.011983193696804083,16,0.5,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
0.7993390560150146,0.017595348834250738,0.06104087829589844,0.00842512204632547,32,0.1,"{'tree__max_depth': 32, 'tree__min_samples_split': 0.1}",-60.09743422750177,-59.84384391491799,-60.55035672682243,-60.01572555049346,-60.1356936262909,-60.12861080920531,0.2335495794420442,1,0.0476,0.0476,0.04855,0.05165,0.04765,0.04861,0.00156249799999872,1
0.6244607448577881,0.049712584077173654,0.05494036674499512,0.005494469097290136,32,0.2,"{'tree__max_depth': 32, 'tree__min_samples_split': 0.2}",-69.59889022654488,-70.85142302999867,-70.12265905212219,-69.92427252969887,-70.87380315962393,-70.27420959959771,0.5087568296170866,6,0.03795,0.0385,0.0376,0.03865,0.0373,0.03799999999999999,0.000514781507049349,5
0.5389445781707763,0.017133066951768496,0.06362724304199219,0.008988670775735376,32,0.3,"{'tree__max_depth': 32, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.48523173332214353,0.0400754636365409,0.06861963272094726,0.016956231889214027,32,0.4,"{'tree__max_depth': 32, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.495908260345459,0.07813408409459195,0.07529520988464355,0.023376379625390607,32,0.5,"{'tree__max_depth': 32, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
0.9959938526153564,0.1485122030166052,0.07437067031860352,0.01303816602664345,64,0.1,"{'tree__max_depth': 64, 'tree__min_samples_split': 0.1}",-60.09743422750177,-59.84384391491799,-60.55035672682243,-60.01572555049346,-60.1356936262909,-60.12861080920531,0.2335495794420442,1,0.0476,0.0476,0.04855,0.05165,0.04765,0.04861,0.00156249799999872,1
0.632428503036499,0.04081584541443921,0.07099676132202148,0.012519054829577294,64,0.2,"{'tree__max_depth': 64, 'tree__min_samples_split': 0.2}",-69.59889022654488,-70.85142302999867,-70.12265905212219,-69.92427252969887,-70.87380315962393,-70.27420959959771,0.5087568296170866,6,0.03795,0.0385,0.0376,0.03865,0.0373,0.03799999999999999,0.000514781507049349,5
0.5342234611511231,0.03218836510444491,0.0673560619354248,0.012544932248178486,64,0.3,"{'tree__max_depth': 64, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.5012972831726075,0.04747297305474544,0.06976323127746582,0.022330091263713953,64,0.4,"{'tree__max_depth': 64, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.4209242820739746,0.05067365691306623,0.05955691337585449,0.011038105237934984,64,0.5,"{'tree__max_depth': 64, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
