mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__max_depth,param_tree__min_samples_split,params,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
0.7466241836547851,0.10859700082541864,0.07688584327697753,0.006162072910986131,4,0.1,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.1}",-66.81071515003642,-66.10514871160277,-67.35159295899886,-66.78810375381659,-66.79982436376896,-66.77107698764472,0.39576426522553687,5,0.0281,0.0307,0.02645,0.03045,0.0299,0.02912,0.0016151160948984441,9
0.6139766693115234,0.020218628410334893,0.06405644416809082,0.01058093623151898,4,0.2,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.2}",-70.40656432843745,-71.61182835812504,-70.9351392040195,-70.84552450500348,-71.66179081782292,-71.09216944268168,0.47959576587621827,10,0.0276,0.0288,0.0264,0.0293,0.02655,0.027729999999999998,0.0011651609330903603,10
0.543013620376587,0.02249417089159152,0.06025714874267578,0.005249190779204468,4,0.3,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.4580714702606201,0.023764033903106364,0.07017135620117188,0.00576430668834214,4,0.4,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.4169424057006836,0.005241237056559249,0.0686213493347168,0.011460772609568674,4,0.5,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
0.7833744525909424,0.02577293661368562,0.06290063858032227,0.009819283875114817,8,0.1,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.1}",-60.40443764724314,-60.0678343997709,-60.73218359500152,-60.23336067337166,-60.24277164044718,-60.33611759116688,0.22484849606433,4,0.0451,0.04765,0.04665,0.0502,0.0455,0.04701999999999999,0.001824445121125873,4
0.6604936122894287,0.028043804368175856,0.06917786598205566,0.010393381499977237,8,0.2,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.2}",-69.59889022654488,-70.85142302999867,-70.12265905212219,-69.92427252969887,-70.87380315962393,-70.27420959959771,0.5087568296170866,6,0.03795,0.0385,0.0376,0.03865,0.0373,0.03799999999999999,0.000514781507049349,5
0.542883825302124,0.007721027237328151,0.06552963256835938,0.007829301658642882,8,0.3,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.48509936332702636,0.0215798164997411,0.06293697357177734,0.00743013265435832,8,0.4,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.4525341510772705,0.007760108024495142,0.06089415550231934,0.011008444512504004,8,0.5,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
0.800075626373291,0.02298579049853735,0.06659350395202637,0.009980061763605892,16,0.1,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.1}",-60.09743422750177,-59.84384391491799,-60.55035672682243,-60.01572555049346,-60.1356936262909,-60.12861080920531,0.2335495794420442,1,0.0476,0.0476,0.04855,0.05165,0.04765,0.04861,0.00156249799999872,1
0.6410778522491455,0.020797571140563357,0.06783652305603027,0.01002358550162145,16,0.2,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.2}",-69.59889022654488,-70.85142302999867,-70.12265905212219,-69.92427252969887,-70.87380315962393,-70.27420959959771,0.5087568296170866,6,0.03795,0.0385,0.0376,0.03865,0.0373,0.03799999999999999,0.000514781507049349,5
0.5129032611846924,0.022452029502547568,0.06524267196655273,0.007673817046456997,16,0.3,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.5023786544799804,0.02776913921123792,0.06118764877319336,0.009764302124541963,16,0.4,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
