mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__max_depth,param_tree__min_samples_split,params,split0_test_RMSE,split1_test_RMSE,split2_test_RMSE,split3_test_RMSE,split4_test_RMSE,mean_test_RMSE,std_test_RMSE,rank_test_RMSE,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
2.207081937789917,1.8209537459325793,0.10484929084777832,0.02686558880890407,4,0.1,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.1}",-66.81071515003642,-66.10514871160277,-67.35159295899886,-66.78810375381659,-66.79982436376896,-66.77107698764472,0.39576426522553687,5,0.0281,0.0307,0.02645,0.03045,0.0299,0.02912,0.0016151160948984441,9
0.7893053531646729,0.07803040663050372,0.09324326515197753,0.019240211630023,4,0.2,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.2}",-70.40656432843745,-71.61182835812504,-70.9351392040195,-70.84552450500348,-71.66179081782292,-71.09216944268168,0.47959576587621827,10,0.0276,0.0288,0.0264,0.0293,0.02655,0.027729999999999998,0.0011651609330903603,10
0.712255334854126,0.07575656728467639,0.10446043014526367,0.030360027277634306,4,0.3,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.6070742130279541,0.05235970302097913,0.08020920753479004,0.013174420542172653,4,0.4,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.4544382095336914,0.020681556755380158,0.08422937393188476,0.0055035388690973,4,0.5,"{'tree__max_depth': 4, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
0.9400241851806641,0.12957277509601928,0.07073755264282226,0.006880603111401252,8,0.1,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.1}",-60.40443764724314,-60.0678343997709,-60.73218359500152,-60.23336067337166,-60.24277164044718,-60.33611759116688,0.22484849606433,4,0.0451,0.04765,0.04665,0.0502,0.0455,0.04701999999999999,0.001824445121125873,4
0.9570284843444824,0.14880628043128857,0.18115296363830566,0.16257531581756782,8,0.2,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.2}",-69.59889022654488,-70.85142302999867,-70.12265905212219,-69.92427252969887,-70.87380315962393,-70.27420959959771,0.5087568296170866,6,0.03795,0.0385,0.0376,0.03865,0.0373,0.03799999999999999,0.000514781507049349,5
0.5884871006011962,0.03027243616987082,0.08065314292907715,0.021558672648521182,8,0.3,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.7314840793609619,0.11627465824378015,0.06641969680786133,0.014437095868700879,8,0.4,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.5062820434570312,0.010943832390870658,0.06453676223754883,0.008323821947698345,8,0.5,"{'tree__max_depth': 8, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
1.6232101917266846,0.730246385658522,0.11327743530273438,0.06915201665180268,16,0.1,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.1}",-60.09743422750177,-59.84384391491799,-60.55035672682243,-60.01572555049346,-60.1356936262909,-60.12861080920531,0.2335495794420442,1,0.0476,0.0476,0.04855,0.05165,0.04765,0.04861,0.00156249799999872,1
0.8462693214416503,0.1367853166546891,0.07068061828613281,0.0029395228700847785,16,0.2,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.2}",-69.59889022654488,-70.85142302999867,-70.12265905212219,-69.92427252969887,-70.87380315962393,-70.27420959959771,0.5087568296170866,6,0.03795,0.0385,0.0376,0.03865,0.0373,0.03799999999999999,0.000514781507049349,5
0.6426581859588623,0.08349337500690461,0.0832427978515625,0.018110799054671285,16,0.3,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.48404946327209475,0.06644523786482502,0.08443160057067871,0.025592584044799825,16,0.4,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.5037436008453369,0.0343393160559223,0.07798399925231933,0.009934386473412356,16,0.5,"{'tree__max_depth': 16, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
1.0420100212097168,0.04394266899469702,0.07771482467651367,0.011534426848554812,32,0.1,"{'tree__max_depth': 32, 'tree__min_samples_split': 0.1}",-60.09743422750177,-59.84384391491799,-60.55035672682243,-60.01572555049346,-60.1356936262909,-60.12861080920531,0.2335495794420442,1,0.0476,0.0476,0.04855,0.05165,0.04765,0.04861,0.00156249799999872,1
0.7751713275909424,0.06770050785006614,0.07006731033325195,0.020296285138678215,32,0.2,"{'tree__max_depth': 32, 'tree__min_samples_split': 0.2}",-69.59889022654488,-70.85142302999867,-70.12265905212219,-69.92427252969887,-70.87380315962393,-70.27420959959771,0.5087568296170866,6,0.03795,0.0385,0.0376,0.03865,0.0373,0.03799999999999999,0.000514781507049349,5
0.6388143062591553,0.05034240155806876,0.07244935035705566,0.0148100396912831,32,0.3,"{'tree__max_depth': 32, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.5526511192321777,0.027111626922663643,0.07084918022155762,0.01248328294771125,32,0.4,"{'tree__max_depth': 32, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.5028965950012207,0.013556927420840388,0.07293267250061035,0.010198897117023075,32,0.5,"{'tree__max_depth': 32, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
0.9069055557250977,0.025456209745311195,0.07218995094299316,0.007942376281108852,64,0.1,"{'tree__max_depth': 64, 'tree__min_samples_split': 0.1}",-60.09743422750177,-59.84384391491799,-60.55035672682243,-60.01572555049346,-60.1356936262909,-60.12861080920531,0.2335495794420442,1,0.0476,0.0476,0.04855,0.05165,0.04765,0.04861,0.00156249799999872,1
0.809688949584961,0.09061115305309221,0.07232804298400879,0.014636742686271017,64,0.2,"{'tree__max_depth': 64, 'tree__min_samples_split': 0.2}",-69.59889022654488,-70.85142302999867,-70.12265905212219,-69.92427252969887,-70.87380315962393,-70.27420959959771,0.5087568296170866,6,0.03795,0.0385,0.0376,0.03865,0.0373,0.03799999999999999,0.000514781507049349,5
0.7403508186340332,0.1178502014739288,0.09850826263427734,0.03453396225051624,64,0.3,"{'tree__max_depth': 64, 'tree__min_samples_split': 0.3}",-81.94920009380822,-82.26723997223728,-82.15558257057172,-81.65478248588781,-81.782566813882,-81.9618743872774,0.22688687941088215,11,0.02485,0.0261,0.02325,0.02555,0.026,0.02515,0.001047377677822093,11
0.5891413688659668,0.05080427639273876,0.07147011756896973,0.016572815650254334,64,0.4,"{'tree__max_depth': 64, 'tree__min_samples_split': 0.4}",-84.56146252946336,-84.81668956034451,-84.57111133852649,-84.23802688657496,-84.40533478127603,-84.51852501923706,0.19235502422929557,16,0.0253,0.0241,0.022,0.0235,0.02545,0.024069999999999998,0.001267122724916573,16
0.48207483291625974,0.0602589449123779,0.08230228424072265,0.040316236135354004,64,0.5,"{'tree__max_depth': 64, 'tree__min_samples_split': 0.5}",-87.36569479753213,-87.51960863808513,-87.31045817879041,-86.78511549180463,-87.28663176366537,-87.25350177397553,0.24784167335344517,21,0.02385,0.02405,0.02305,0.02425,0.0237,0.023780000000000003,0.00040938978980917403,21
